Gene1	Gene2	Weight
RP3-326L13.2	RP11-417L14.1	0.6947239
RP11-560A15.6	ABCB10P1	0.6947026
C1orf87	ICE2P2	0.6946177
RP11-81M19.1	KRT18P43	0.69461757
CTD-3145H4.1	FRG2DP	0.69458914
SPRR4	RP1-140J1.1	0.6945674
RP13-631K18.2	RP11-463J7.2	0.6945281
RP3-332B22.1	IFNA13	0.6944544
LINC00442	RP11-348M3.2	0.69445103
OR4A21P	CYLC1	0.6944413
LINC01109	AC105342.1	0.6944382
AC023128.2	CTD-2314G24.2	0.6943905
RP11-233E12.2	RP11-481J2.2	0.69436216
SLC34A1	NXF2B	0.69433004
ONECUT3	HAUS6P2	0.6943261
RP11-735A19.2	ARL5C	0.69429606
AC006026.9	LRRTM1	0.6942784
OR8X1P	MCHR2	0.69421273
OR2W1	OPALIN	0.69416064
CEACAM22P	RP11-826N14.2	0.6941405
RP13-631K18.2	AC021451.1	0.6941025
RGSL1	RP11-244H18.1	0.69405514
SUCLA2P1	MOBP	0.6940536
RP11-475A13.1	CTD-2210P24.2	0.69391614
RP11-107P7.6	RP11-554D14.1	0.69389516
RP11-350A1.1	TERF1P2	0.6938095
RP13-631K18.2	GLUD1P9	0.6937673
OR4A21P	RP11-263G22.1	0.69373894
RP13-130D24.1	HSPA8P6	0.69371676
CTD-3145H4.1	RP11-14K3.1	0.69370556
UBQLN1P1	SPATA31D5P	0.6936727
RP11-287F9.1	RP11-145E17.3	0.6936452
OR2M1P	DACH2	0.69358593
MYT1L-AS1	RP11-1078H9.6	0.69358045
AC012361.1	RP11-101E19.8	0.6935139
REG1B	DDX18P6	0.69346833
KLHL1	CCT7P2	0.6934318
PPIAL4D	AC021451.1	0.69339585
ZNF735	GNGT1	0.69339186
LINC01452	LINC01247	0.69333535
RP4-630C24.3	PABPC1P13	0.69332904
RP11-573D15.8	LINC01551	0.6933031
RP11-704C2.1	RP11-301G19.2	0.69320893
RP11-805I24.3	TAS2R2P	0.6932046
OR2L6P	UGT2A3	0.69319826
AC008060.7	NFYAP1	0.69316417
RP13-631K18.2	RP4-610C12.4	0.69315934
NCAPD2P1	RP11-588F10.1	0.69310737
C16orf82	HSPD1P7	0.6930206
CSTF3-AS1	PRDM9	0.6930096
NLRP5	RP11-385H1.1	0.69293743
HAUS6P3	OR7E105P	0.6928115
RP11-638L3.3	RP11-659P15.2	0.6927755
OR8K3	RP11-635O16.2	0.69269294
RP11-91I20.3	GOLGA6D	0.69268256
GOT2P1	DAOA-AS1	0.69263583
RP3-492J12.2	RP11-367G6.3	0.69262105
PABPC1P12	RP11-536C10.26	0.69261146
GMNC	GABRA4	0.69257206
SLC10A2	C10orf126	0.6925485
UBQLN1P1	CTC-463N11.1	0.69252795
RBMXL2	AC005614.3	0.6923956
RP11-368J22.2	HRCT1	0.6923776
LINC01109	RP11-271F18.3	0.69218636
RP3-341O5.3	CTA-212A2.3	0.6921713
AC003984.1	TRIM42	0.6921642
LINC01109	RP13-977E11.1	0.6921399
RP11-568J23.2	AP004782.1	0.69211054
OR6C74	TRIM49B	0.6920595
CT83	SLC6A14	0.69202775
OR4A21P	GPR6	0.69202334
AMY1A	ARL14	0.69199324
AKAP4	RP11-536C10.7	0.69198555
STIP1P3	HSPD1P15	0.69191426
RP11-809N15.3	RP11-76I14.1	0.6918667
RP11-294L13.1	RP1-111J24.1	0.6918029
FAM201A	ANKRD18A	0.69177574
AC006004.1	LINC00967	0.6917281
LINC01192	RP11-397A16.3	0.6916596
OR4K5	FAM71E2	0.6915986
RP11-704C2.1	PABPC1P6	0.6915019
KCNMB3P1	LINC00349	0.691438
DYTN	EFTUD1P2	0.69133234
PABPC1P12	RP3-428A13.1	0.6913262
HSPD1P15	OR14C36	0.69127125
RP4-630C24.3	MYT1L-AS1	0.6912594
RP3-347M6.2	HTR5A-AS1	0.691251
RP11-410C4.5	LDHAL6CP	0.69114685
CTD-3145H4.1	RP11-203I2.2	0.69110656
RP13-631K18.2	NEK2P2	0.69103354
RAD17P1	RP11-16O13.1	0.6910171
ACSM2B	REG1B	0.690952
DSG3	LINC01152	0.69093037
RP11-704C2.1	RP11-411B10.6	0.6909218
SHH	AF121898.3	0.69089216
ATXN8OS	UGT2A1	0.6907061
RP11-204E4.4	RP11-343J18.1	0.6906512
RP11-704C2.1	PASD1	0.6905303
IGKV3-15	RP11-12A2.1	0.6904931
RP11-440G9.1	CLDN16	0.69038695
RP11-307A17.2	GPRC6A	0.69032174
AC007326.10	RP11-25D10.2	0.6903207
SATL1	RP11-616L12.4	0.6902793
AF121898.3	IARS2P1	0.69024307
ACTR3BP5	GOT2P1	0.69017416
RP11-244B22.1	LINC00836	0.69014925
TUBBP6	CTD-2144E22.5	0.6901231
RP11-698E18.1	AP000705.8	0.6900387
C1orf87	ZNF735	0.68997747
AC079779.7	AC012361.1	0.6899641
GCSAML-AS1	RP1-27K12.2	0.68983006
RP11-629G13.1	RP11-33A14.1	0.6898043
OR7E130P	RP11-536C10.10	0.68966573
CTD-3145H4.1	STATH	0.68965787
RPS3AP54	RNF2P1	0.68956774
RP11-704C2.1	FLJ22763	0.6895142
OR8K3	NKX2-1	0.68950063
UBQLN1P1	ATP5F1P2	0.6894931
AC073310.4	LINC01490	0.6894792
CTD-3145H4.1	OR8S1	0.6894305
CHIA	CHIAP2	0.68942875
RP11-704C2.1	KIF2B	0.68941575
SLC13A1	CTA-125H2.2	0.6893746
LINC01109	AVPR1B	0.68930453
CTD-2034I21.2	MAGEB6	0.68925935
OR2H1	RP11-144L1.4	0.6892207
C7orf65	LINC00700	0.68921304
LINC01109	F9	0.6892085
UBQLN1P1	OR2J1	0.6892085
CTB-88F18.2	RP11-14C10.4	0.68916076
AC007126.1	DUSP13	0.6891561
ST8SIA3	RP4-547N15.3	0.68915254
RP11-704C2.1	RP11-491F9.5	0.6891481
PSMC1P12	STMN4	0.68905
CTD-3145H4.1	RP11-805I24.3	0.6889403
LINC01007	RP11-403A3.1	0.6889066
KNOP1P5	OR2S2	0.6888377
RIOK3P1	RP1-215K18.4	0.6886769
SLC13A1	DHX9P1	0.6886318
AP000708.1	RP11-124N3.2	0.6885505
RP11-704C2.1	ASH2LP1	0.6885492
KRT17	KRT5	0.688502
RP1-140J1.4	IL17A	0.68844575
RP11-459O16.8	RP11-14C10.4	0.688401
C18orf63	ALDH1L1-AS2	0.68834835
RP11-104C4.2	LINC01247	0.68827325
RP11-287F9.1	DAO	0.68824893
RP11-704C2.1	RP11-698E18.1	0.6882067
RP4-630C24.3	RP11-258B16.1	0.6881407
LAP3P2	CLLU1	0.6881272
RP13-977E11.1	KRT18P43	0.68804026
GMNC	OLFM3	0.688006
RP13-631K18.2	IL17A	0.6879685
C16orf82	SLC22A12	0.68795496
RP11-76I14.1	SUCLA2P2	0.68795294
OR9H1P	OR3D1P	0.68783885
SIRPG	TOMM20P2	0.6877968
RP11-225N10.1	GOLGA8G	0.68778807
RP5-1070A16.1	OR10J1	0.6877566
RP11-407P18.1	RP11-541F9.2	0.6877399
AC073065.3	LINC00661	0.68763167
RP11-347N5.3	EFTUD1P2	0.6876281
RP11-470L19.2	RP1-27K12.2	0.6875849
SLC13A1	C18orf63	0.6875587
LINC00486	RP5-837O21.3	0.6874834
SMR3B	RP4-775D17.1	0.6874648
NEUROD6	RP11-325P15.2	0.6874458
RP11-9G1.3	OR4A19P	0.6873743
RP11-459O16.8	MIPEPP2	0.6871782
MYT1L-AS1	CTD-3076M17.1	0.6871404
CTD-2118P12.1	TARS2P1	0.6871206
RP11-158L12.6	GS1-309P15.2	0.68703437
OR10C1	MAPRE1P3	0.68691474
STIP1P3	RP11-144L1.4	0.6868005
CDH10	KCNH5	0.6868005
AC006026.9	RP11-593P24.2	0.68660516
REG1B	H2BFM	0.6865986
HCFC2P1	LINC00836	0.68657255
RP4-668E10.4	CASR	0.6865056
GAPDHP26	CCT5P2	0.6864812
RP3-497J21.1	CTD-2008P7.8	0.68644494
ANKRD18DP	CTAGE13P	0.68644315
C10orf67	MTND5P18	0.68640345
RP11-64I5.1	CIR1P1	0.6863143
UBQLN1P1	RP11-20L19.1	0.6862769
LINC01104	CTAGE13P	0.6862462
DNAJC5G	RP11-491F9.5	0.68624115
RP11-704C2.1	OR4A21P	0.686197
NPSR1	RP11-677O4.2	0.68612957
RP11-704C2.1	RP4-668E10.4	0.6861115
OR8B9P	OR8B10P	0.68596053
RP11-144L1.4	TRAF6P1	0.6859501
AC079779.7	MTND5P18	0.6859422
OPCML-IT1	KRT73-AS1	0.6858211
RP11-704C2.1	RP11-568G20.2	0.685816
RGPD4	ATP1B4	0.6857695
FETUB	LCE1E	0.6857241
PKP4P1	NLRP8	0.6856505
HNF4GP1	RP11-459O16.9	0.6856337
RP11-1217F2.3	MTND4P5	0.6856095
AGR3	FOXA1	0.6855922
CTD-2509G16.5	TRBV20-1	0.6855363
AC011718.4	LINC01471	0.6855326
LINC00656	LINC01511	0.68549114
SSX1	ZNF733P	0.68539006
RP11-704C2.1	RP11-521O16.2	0.6853705
AC004862.6	RP11-42L13.3	0.6852493
POM121L1P	RP11-461F11.3	0.68510604
FBXL21	RP11-410C4.5	0.6850435
FLJ46066	PRR23C	0.68487644
IFNW1	RP11-438F14.3	0.6848607
RP1-140J1.4	RP11-354P17.15	0.68479437
KRT9	C2orf71	0.6847901
ATXN8OS	ADAM20P3	0.6847746
GAPDHP24	RP11-21L1.1	0.6847313
OR5H2	KLK15	0.6847196
RP13-631K18.2	RP6-60B16.1	0.68467236
FAM47C	RP11-510C10.4	0.6846414
RP11-595O22.1	RP11-295D22.1	0.6845965
AC003984.1	AC073072.6	0.6845334
CTD-2199O4.1	CTD-2199O4.3	0.6844811
RP11-704C2.1	RP6-22P16.1	0.68446755
RP11-629G13.1	NOL8P1	0.684395
GAPDHP26	LINC01020	0.6843698
RP11-704C2.1	RP1-131F15.3	0.68436074
GAPDHP26	RP11-268G13.1	0.68423843
RP11-15H7.2	OR6C68	0.684223
UBQLN1P1	RP1-228P16.9	0.6841588
SUCLA2P1	MAGEB10	0.6839697
RP11-704C2.1	LINC00703	0.68378586
ADAM7	RP11-639F1.3	0.6837351
LINC01152	KLK5	0.6836529
OR52Q1P	OR52E6	0.68364114
RP11-327I22.5	RP3-420J14.1	0.6835653
FOXA2	HHLA1	0.6834733
REG1B	OR9Q1	0.6834371
DCAF12L1	RP5-967N21.2	0.68343353
UBQLN1P1	OR5H14	0.68339115
RP11-519M16.1	ANKRD26P3	0.6833331
RP13-631K18.2	CTD-2544L4.1	0.6833218
AC079779.7	RP11-14C10.4	0.6833083
OR4G1P	CTD-2139B15.4	0.6833048
NMNAT1P3	C4orf22	0.68322754
PRKRIRP9	RP5-998H6.2	0.68321925
RP3-416J7.5	VWA3B	0.68302554
RP11-704C2.1	CTD-2342I9.1	0.68299556
MYH6	RP11-344L13.1	0.6828494
CCT5P2	RP11-344L13.1	0.6827772
RP11-704C2.1	CTD-2561F5.1	0.68272203
RP11-87G24.2	FNDC7	0.6825211
ACSM2A	ZNF720P1	0.6824603
CTD-3145H4.1	CTC-525D6.3	0.6824415
RP11-748H22.2	CTA-929C8.6	0.6823569
RP11-492D6.3	HTN1	0.6822577
RP11-704C2.1	TOPAZ1	0.68220234
OR8X1P	OR8G7P	0.6819858
RP11-544P1.3	ADAM30	0.68194175
KRT18P46	AC005614.3	0.681937
RGS8	RP11-80F22.10	0.6819063
ATXN8OS	RP11-380D15.2	0.68188936
DNAJA1P4	CTD-2351A16.1	0.68187076
OR10C1	C16orf82	0.68170184
NEUROD4	RP3-428A13.2	0.68162775
PABPC1P13	RP1-203C2.4	0.6815734
ZNF488	LINC01478	0.681508
RP11-735A19.2	SETP9	0.6814952
LINC00558	AC010731.4	0.6814857
RP11-704C2.1	ADAM7	0.68146247
OR2J1	LINC00269	0.6814001
RP11-492D6.3	HOXD13	0.68106645
GAPDHP26	RP11-434D2.7	0.68098044
RP11-1078H9.6	ARHGAP42P5	0.68096495
ONECUT3	MAGEB6	0.68082786
RP11-470C13.4	OR4K11P	0.68080926
TMPRSS11BNL	WBP11P1	0.6807892
RP4-630C24.3	ANKRD30BP2	0.6807726
RP11-544P1.3	MMD2	0.6807532
FSHR	RP11-425A6.5	0.68062085
GAPDHP26	RP1-228P16.4	0.6805152
ANKRD18DP	RP5-1070A16.1	0.6804948
CTB-43I4.1	OR2M1P	0.68048054
CTD-2123J17.2	ZNF192P2	0.6804369
RP11-144L1.4	LINC01289	0.68033737
RP11-120E5.1	OR5I1	0.68011165
CTD-3145H4.1	EHHADH-AS1	0.680021
CTD-2194D22.4	RP11-15E1.5	0.680008
UBQLN1P1	LINC00837	0.6799867
RP11-244B22.1	FGFR3P5	0.6799156
RP11-497J7.4	RP11-438F14.3	0.67985076
RP11-704C2.1	RP11-747D18.1	0.67981815
OR2M4	VN2R3P	0.679786
PNLIPRP1	XXbac-B33L19.6	0.67965794
RP11-704C2.1	AP000469.2	0.6794118
RP13-977E11.1	ACTR3BP2	0.67928654
CRABP1	RP11-5O23.2	0.6792173
AC003092.1	RP3-334F4.1	0.67920595
RP11-704C2.1	LINC01222	0.67910814
IFNA10	RP11-325E14.2	0.67897266
THRAP3P1	RP11-284A20.2	0.67869097
RP11-94H18.1	CTD-2342I9.1	0.6783223
MTND5P27	OPRM1	0.6781723
AC023128.2	RP11-638L3.1	0.6780924
AC012361.1	RP11-491F9.3	0.6779835
OR2J1	EEF1A1P42	0.67778903
NMNAT1P3	SPATA16	0.67767483
PTPRD-AS2	RP11-153K16.2	0.6775408
HRG	RP11-225N10.1	0.6774896
OR10K1	RP11-744D14.2	0.67744714
CTC-471C19.1	RP11-638F5.2	0.67697364
RP11-463J7.2	RP11-555J4.4	0.676939
RP11-113D6.10	RP4-764D2.1	0.67691755
RP11-704C2.1	OPCML-IT1	0.6769092
F9	CTC-493L21.1	0.6767695
OR10K1	ABCB10P1	0.67655927
PSMC1P12	KIF2B	0.6765034
GAPDHP26	CSH2	0.6764391
CTB-88F18.2	NCAPD2P1	0.67642426
RP11-568G20.2	RP11-666G4.1	0.6757156
TISP43	RS1	0.67566156
RP13-631K18.2	OR8F1P	0.6756201
ZNF479	AC092646.1	0.675159
RP13-631K18.2	OR12D3	0.6750639
RP11-629G13.1	KLHL1	0.67477125
RP11-572C21.1	ZNF806	0.6747543
RP4-630C24.3	RP11-989E6.8	0.67472506
LINC00971	RP11-2A4.4	0.6747071
ATXN8OS	FDPSP1	0.67431134
RP11-244H18.3	RP5-1077H22.2	0.67401046
AC006004.1	RP1-13D10.5	0.6739693
RP4-630C24.3	GALNTL5	0.67384166
RP4-587D13.2	RP11-471N19.1	0.67372113
LYARP1	KB-1592A4.14	0.67352676
FAR2P1	AC018804.3	0.67350596
PABPC1P12	OR5I1	0.6733119
PRDM13	EDDM3DP	0.6732683
CTC-546K23.2	FAM138D	0.6732399
RP11-144L1.4	TDGF1P3	0.67321354
PABPC1P12	AHSG	0.6730749
IGSF11-AS1	ZNF280A	0.67276007
CTD-3145H4.1	OR9G1	0.67271465
OR10C1	RP11-79E3.3	0.67257166
CTD-2281M20.1	RP11-299H22.3	0.6722234
GOT2P1	RP11-48F14.1	0.6719568
RP11-104C4.2	SI	0.671943
RP11-704C2.1	RP11-363G10.2	0.67180234
RP11-704C2.1	RP11-114H20.1	0.67180234
RP11-704C2.1	LINC01320	0.67155427
ZNF299P	USP29	0.6709292
RP13-130D24.1	PIWIL1	0.6708196
RP11-491F9.5	INSL4	0.66979235
ZNF299P	LINC00838	0.66703254
RP11-515O17.3	ZNF299P	0.6669145
RP11-704C2.1	GPR50	0.66574293
ACSM2B	LYARP1	0.66546804
RP13-631K18.2	FOXA2	0.6645933
GJA10	RDH8	0.66445595
GAPDHP26	AC073310.4	0.66444707
AP005901.1	LINC00326	0.6640086
RP11-19D2.2	FER1L6-AS2	0.6638507
RP13-631K18.2	RGSL1	0.6627681
AC006004.1	RP11-182N22.7	0.6625684
RP11-704C2.1	CCT6P4	0.6623835
RP11-469N6.1	ABCB10P1	0.66215074
RP11-704C2.1	PABPC1P12	0.66180694
RP11-544P1.3	LINC01441	0.661448
CTB-88F18.2	RP5-1119O21.2	0.65822077
RP11-184J23.2	IGHG3	0.6539197
NPBWR1	MAGEB6	0.6523631
RP11-704C2.1	LINC01192	0.7628322
RP11-704C2.1	AC003984.1	0.74515754
RP11-704C2.1	HNF4GP1	0.7109607
RP11-704C2.1	FLJ26245	0.7006819
RP11-704C2.1	OR4G1P	0.70384216
RP11-704C2.1	ACTR3BP5	0.73856145
RP11-704C2.1	LINC00558	0.7069185
RP11-704C2.1	VN2R3P	0.7192135
RP11-704C2.1	AC023128.2	0.7793252
RP11-704C2.1	RP5-1077H22.2	0.7161539
RP11-704C2.1	RP11-470L19.2	0.7220831
RP11-704C2.1	RP11-535I24.2	0.7497904
RP11-704C2.1	MTND5P13	0.7146489
RP11-704C2.1	RP11-362I1.2	0.7361531
RP11-704C2.1	AC013733.4	0.7315369
RP11-704C2.1	TAAR2	0.7075739
RP11-704C2.1	RP11-71N10.1	0.72677547
RP11-704C2.1	AC020956.3	0.7149946
RP11-704C2.1	SPATA31A6	0.71713835
RP11-704C2.1	RP11-56L13.1	0.7111235
RP11-704C2.1	SSX6	0.7481515
RP11-704C2.1	OR8U1	0.7926113
RP11-704C2.1	AC012494.1	0.70251137
RP11-704C2.1	RP11-19P22.5	0.7346897
RP11-704C2.1	TRIM60P13	0.7064414
RP11-704C2.1	RP11-19D2.2	0.7510934
RP11-704C2.1	HSPD1P3	0.7193601
RP11-704C2.1	RP11-488I20.9	0.7507344
RP11-704C2.1	LCE1B	0.7106369
RP11-704C2.1	RP4-640H8.2	0.787383
RP11-704C2.1	RP11-707M1.1	0.71329075
RP11-704C2.1	DMBT1P1	0.70415336
RP11-704C2.1	RP13-786C16.1	0.73655796
RP11-704C2.1	RP5-1004I9.1	0.75673145
RP11-704C2.1	TRIM43	0.7021489
RP11-704C2.1	SSX2B	0.723715
LINC01109	REXO1L1P	0.73124933
LINC01109	OR4A21P	0.7037758
LINC01109	RP5-828K20.1	0.70304984
LINC01109	SLC4A1APP2	0.7489378
LINC01109	RP11-118H4.1	0.71797246
LINC01109	RP11-25D10.2	0.730161
LINC01109	RP11-809F4.3	0.7112243
LINC01109	OR5T3	0.71588945
LINC01109	RP11-342F21.1	0.7502246
LINC01109	LINC01299	0.76955813
LINC01109	RP11-24P4.1	0.7288904
LINC01109	LL09NC01-254D11.1	0.72450155
LINC01109	RP11-113I24.1	0.73213625
LINC01109	VN1R7P	0.7147028
LINC01109	CTC-339O9.1	0.74070483
LINC01109	RP11-16E18.1	0.7092457
LINC01109	RP5-998G20.1	0.71885234
CTD-2118P12.1	RP11-64I5.1	0.7129794
CTD-2118P12.1	OR4G1P	0.7691882
CTD-2118P12.1	CTC-525D6.1	0.72852165
CTD-2118P12.1	OR6C74	0.71499735
CTD-2118P12.1	LINC01322	0.71636766
CTD-2118P12.1	TRIM43	0.81054705
RP11-331K15.1	LINC00836	0.732824
RP11-331K15.1	EEF1A1P36	0.759007
RP11-331K15.1	RP11-21L1.1	0.754441
RP11-331K15.1	RP11-108B14.5	0.7082722
RP11-331K15.1	RP3-428A13.2	0.74185926
RP11-331K15.1	RP11-73B8.2	0.75181216
RP11-331K15.1	VN1R7P	0.75518924
RP11-331K15.1	RP11-966I7.2	0.7127095
RP11-331K15.1	IRF5P1	0.73224354
RP11-331K15.1	RP11-716D16.1	0.7284692
RP11-331K15.1	RP11-152L7.2	0.74179524
IGHV3-21	IGHV4-59	0.725965
IGHV3-21	IGLV1-44	0.7531056
IGHV3-21	IGHV3-30	0.7244515
IGHV3-21	POU2AF1	0.78000015
IGHV3-21	IGKV1D-39	0.7606209
IGHV3-21	IGHV3-53	0.75235724
IGHV3-21	IGHM	0.73537916
IGHV3-21	IGLV2-23	0.74864095
IGHV3-21	IGHV3-11	0.81444
IGHV3-21	CD19	0.74762416
IGHV3-21	IGKV3-11	0.7564953
IGHV3-21	IGHG1	0.7290487
IGHV3-21	IGKV3-15	0.7583508
IGHV3-21	IGHV3-49	0.7845211
IGHV3-21	KIAA0125	0.7238794
IGHV3-21	IGLC2	0.7851319
IGHV3-21	IGLV2-14	0.75657624
IGHV3-21	IGLL5	0.78214055
IGHV3-21	IGHV4-31	0.77847344
IGHV3-21	IGLC3	0.7826249
IGHV3-21	IGHV3-74	0.76464367
IGHV3-21	CD79A	0.7391996
IGHV3-21	IGLV1-40	0.7453196
IGHV3-21	IGHV1-18	0.8048046
IGHV3-21	IGKV3-20	0.7746115
IGHV3-21	IGKV1-5	0.7509958
IGHV3-21	IGLV1-51	0.75976706
IGHV3-21	IGHV4-34	0.7365744
IGHV3-21	IGLV3-21	0.73515105
IGHV3-21	IGLV3-10	0.74266547
RP4-630C24.3	OR5T3	0.7063891
RP4-630C24.3	HSPD1P8	0.75348425
RP4-630C24.3	AC008067.2	0.7098419
PAX5	FCRL3	0.80686194
PAX5	CR2	0.75637054
PAX5	CLEC17A	0.7304633
PAX5	FCRLA	0.74289036
PAX5	CNR2	0.7442811
PAX5	RP11-367J7.3	0.70892936
PAX5	MS4A1	0.7563372
PAX5	BLK	0.7435257
PAX5	LINC00402	0.75821805
PAX5	FCRL2	0.75710136
CTB-43I4.1	FBXL21	0.7037836
CTB-43I4.1	RP11-1112C15.1	0.71395034
CTB-43I4.1	RP11-258B16.1	0.7173538
CTB-43I4.1	RP11-597A11.4	0.7007137
CTB-43I4.1	TAAR2	0.745105
CTB-43I4.1	RP1-217P22.2	0.7438717
CTB-43I4.1	C16orf97	0.7138694
CTB-43I4.1	RP11-193H5.1	0.70465463
CTB-43I4.1	RP11-284A20.2	0.7312828
CTB-43I4.1	RP11-36D19.9	0.7729347
CTB-43I4.1	HTR5A-AS1	0.7050311
CTB-43I4.1	UBTFL11	0.7084605
RP13-631K18.2	FBXL21	0.7562737
RP13-631K18.2	RP11-104C4.2	0.7846008
RP13-631K18.2	LINC01192	0.74687356
RP13-631K18.2	ZNF299P	0.7398065
RP13-631K18.2	PABPC1P12	0.7111462
RP13-631K18.2	AC005307.3	0.7088203
RP13-631K18.2	OR2J1	0.7027871
RP13-631K18.2	RP11-544P1.3	0.7617836
RP13-631K18.2	GMNC	0.8103576
RP13-631K18.2	ICE2P2	0.7242839
RP13-631K18.2	LINC01206	0.7181375
RP13-631K18.2	ACTR3BP5	0.76136065
RP13-631K18.2	HSPD1P15	0.7557171
RP13-631K18.2	HSFY1P1	0.77381414
RP13-631K18.2	RP11-491F9.5	0.7003603
RP13-631K18.2	RP11-1112C15.1	0.74103504
RP13-631K18.2	RP11-73G16.1	0.75454617
RP13-631K18.2	RP5-1077H22.2	0.82788944
RP13-631K18.2	RP11-395E19.6	0.72304916
RP13-631K18.2	KRT18P46	0.70140886
RP13-631K18.2	RP11-513O17.3	0.7062438
RP13-631K18.2	KRT38	0.7305851
RP13-631K18.2	RP11-25D10.2	0.75056046
RP13-631K18.2	RP11-809F4.3	0.7222522
RP13-631K18.2	TISP43	0.72655416
RP13-631K18.2	RP11-538C21.2	0.71242905
RP13-631K18.2	CTD-2342I9.1	0.74016094
RP13-631K18.2	OR5H15	0.7134946
RP13-631K18.2	RP11-56L13.1	0.7263085
RP13-631K18.2	GXYLT1P6	0.7134846
RP13-631K18.2	FAM169B	0.71835905
RP13-631K18.2	LINC01299	0.70807076
RP13-631K18.2	AC105342.1	0.72773725
RP13-631K18.2	OR8U1	0.712375
RP13-631K18.2	CYLC2	0.71112007
RP13-631K18.2	LINC01566	0.70137614
RP13-631K18.2	SALL1P1	0.7909333
RP13-631K18.2	RP1-140J1.1	0.7172801
RP13-631K18.2	LINC01114	0.70959455
RP13-631K18.2	RP11-641A6.5	0.7239661
RP13-631K18.2	RPTN	0.75428945
RP13-631K18.2	MIR7515HG	0.75486135
RP13-631K18.2	OR4D10	0.720645
RP13-631K18.2	SLC39A12-AS1	0.7144254
RP13-631K18.2	F9	0.73094815
RP13-631K18.2	RP11-568G20.2	0.7020716
RP13-631K18.2	RP11-730N24.1	0.71952486
RP13-631K18.2	RP11-143A12.3	0.8175804
RP13-631K18.2	ZNF536	0.7285126
RP13-631K18.2	PRR23B	0.77897054
RP13-631K18.2	LINC00703	0.7139716
RP13-631K18.2	CTC-546K23.1	0.70556325
RP13-631K18.2	OR2J2	0.7090392
RP13-631K18.2	RP5-998G20.1	0.7602021
RP13-631K18.2	RP11-541F9.2	0.7206256
RP13-631K18.2	OR4K2	0.7078449
RP13-631K18.2	LINC00661	0.7225654
RP13-631K18.2	MTND5P30	0.74023944
RP13-631K18.2	RP11-861E23.2	0.71014166
RP13-631K18.2	MAPK6PS4	0.735913
CTB-88F18.2	VN2R3P	0.73396724
CTB-88F18.2	RP11-747D18.1	0.7564969
CTB-88F18.2	CYLC2	0.70662826
CTB-88F18.2	RP11-1151B14.3	0.70268637
OR10C1	RP3-399J4.4	0.71489525
OR10C1	GALNTL5	0.77625257
OR10C1	DKFZP434K028	0.7496155
OR10C1	CSN2	0.72995096
OR10C1	RP11-1084I9.1	0.7307103
OR10C1	MTND2P6	0.7076783
OR10C1	VGLL2	0.8280886
OR10C1	RPL3P11	0.741061
UBQLN1P1	ZNF479	0.72246426
UBQLN1P1	SLC13A1	0.7343485
UBQLN1P1	ACTR3BP5	0.75573874
UBQLN1P1	SLC25A3P1	0.75815415
UBQLN1P1	RP11-470L19.2	0.73144454
UBQLN1P1	RP11-332P22.2	0.7414878
UBQLN1P1	OR6K1P	0.76298016
UBQLN1P1	RP11-19P22.5	0.7333006
UBQLN1P1	RP5-865N13.1	0.7017779
UBQLN1P1	LINC01566	0.70436907
UBQLN1P1	DRD5P1	0.7019453
UBQLN1P1	CTD-2561F5.1	0.7150808
UBQLN1P1	RP11-568G20.2	0.7187009
UBQLN1P1	ADAM20P2	0.72839403
UBQLN1P1	LINC00703	0.70800203
UBQLN1P1	UGT2A3	0.7219002
UBQLN1P1	RP11-402K9.1	0.7250614
UBQLN1P1	RP11-78H18.2	0.7186417
RP11-1217F2.3	RP11-1217F2.7	0.81060714
RP11-1217F2.3	AP003900.6	0.7466657
RP11-1217F2.3	OR8K3	0.71428776
RP11-1217F2.3	CTC-546K23.2	0.72608846
RP11-1217F2.3	RP11-408B11.2	0.7311945
OR8X1P	OR8A2P	0.71355677
OR8X1P	OR8B3	0.70165056
OR8X1P	OR8B9P	0.70746046
OR8X1P	OR13K1P	0.70099473
OR8X1P	OR8F1P	0.7170178
OR8X1P	MTND4P5	0.7604837
IGHV4-59	IGLV1-44	0.74518734
IGHV4-59	IGHV3-23	0.7414429
IGHV4-59	POU2AF1	0.7203062
IGHV4-59	IGLV2-8	0.7334295
IGHV4-59	IGKV1D-39	0.7969641
IGHV4-59	IGHM	0.7105374
IGHV4-59	IGHV5-51	0.74002045
IGHV4-59	IGLV2-23	0.7437944
IGHV4-59	IGLV3-25	0.7443156
IGHV4-59	IGHV4-39	0.7852917
IGHV4-59	IGKV3-11	0.7849763
IGHV4-59	IGLV2-11	0.7726836
IGHV4-59	IGKV3-15	0.75743324
IGHV4-59	IGLC2	0.7676905
IGHV4-59	IGKV4-1	0.7402477
IGHV4-59	IGKC	0.7446017
IGHV4-59	IGLL5	0.7835696
IGHV4-59	IGHV1-46	0.75144607
IGHV4-59	IGLV1-40	0.82462883
IGHV4-59	IGKV1-5	0.73534304
IGHV4-59	IGHV2-5	0.74480873
IGHV4-59	IGHV4-34	0.7337958
IGLV1-44	IGHV3-23	0.78716224
IGLV1-44	IGLV2-8	0.7429292
IGLV1-44	IGKV1D-39	0.780461
IGLV1-44	IGKV1-9	0.7264528
IGLV1-44	IGHV3-53	0.7487847
IGLV1-44	IGHV5-51	0.76301503
